Relatorio de Producao x Defeitos
09/2021 ;Producao:;;
Data;Estab;Grupo Maquina;Centro Trabalho;Desc. Centro Trabalho;Defeito;Item;Un;Fornec;Nome Forn.;Qtde.;PPM;R$ Defeito;Refer.;Narrativa
14/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18901227705     ;UN;       0;PEF.        ;      1,0000;              0,00000;     48,81;        ;Riscos                                  
15/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;312;18702208005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     33,85;        ;Lascados                                
15/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702226005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     33,27;        ;Riscos                                  
15/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702230005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     35,96;        ;Riscos                                  
15/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702240005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     45,95;        ;Riscos                                  
16/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;312;18102115505     ;UN;       0;PEF.        ;      1,0000;              0,00000;    163,04;        ;Lascados                                
16/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702207005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     30,69;        ;Riscos                                  
17/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102003105     ;UN;       0;PEF.        ;      1,0000;              0,00000;     38,58;        ;Riscos                                  
17/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;308;18102003105     ;UN;       0;PEF.        ;      1,0000;              0,00000;     38,58;        ;Lapidação Ruim                          
17/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;308;18102003905     ;UN;       0;PEF.        ;      1,0000;              0,00000;     56,38;        ;Lapidação Ruim                          
17/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;308;18102004905     ;UN;       0;PEF.        ;      1,0000;              0,00000;     64,53;        ;Lapidação Ruim                          
17/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;302;18102155005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     46,74;        ;Quebrado                                
17/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;302;18102410605     ;UN;       0;PEF.        ;      1,0000;              0,00000;    109,49;        ;Quebrado                                
17/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;308;18102410605     ;UN;       0;PEF.        ;      1,0000;              0,00000;    109,49;        ;Lapidação Ruim                          
20/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;308;18102003426     ;UN;       0;PEF.        ;      1,0000;              0,00000;     92,45;        ;Lapidação Ruim                          
20/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18102004905     ;UN;       0;PEF.        ;      1,0000;              0,00000;     64,53;        ;Riscos                                  
20/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;312;18102004905     ;UN;       0;PEF.        ;      1,0000;              0,00000;     64,53;        ;Lascados                                
20/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;302;18102104005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     37,63;        ;Quebrado                                
20/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702200005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     21,31;        ;Riscos                                  
20/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702226005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     33,27;        ;Riscos                                  
20/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;301;18702240005     ;UN;       0;PEF.        ;      1,0000;              0,00000;     45,95;        ;Riscos                                  
21/09/2021;18   ;Vitrum   ;201             ;Aplica‡Æo de Pel¡cula                   ;315;18102407681     ;UN;       0;PEF.        ;      1,0000;              0,00000;     93,53;        ;Esquadro                                
